Date,Work Distance sum,Drag Factor sum,Work Time (Seconds) sum
2018-06-18,14279,109.0,3600.0
2018-06-19,6399,775.0,1446.8000000000002
2018-06-20,14365,100.0,3600.0
2018-06-21,9696,136.0,2527.5
2018-06-22,6072,312.0,1474.3
2018-06-25,18403,101.0,4800.0
2018-06-26,18319,,4740.0
2018-06-27,23003,189.0,6000.0
2018-06-29,19168,758.0,4906.9
2018-06-30,9197,99.0,2400.0
2018-07-02,17622,104.0,4800.0
2018-07-04,18560,201.0,4800.0
2018-07-05,4474,100.0,1200.0
2018-07-06,2371,100.0,575.8
2018-07-07,2000,118.0,423.6
2018-07-08,30735,,7805.1
2018-07-09,18567,,4800.0
2018-07-10,9423,,2400.0
2018-07-11,18213,,4800.0
2018-07-12,22931,,6000.0
2018-07-13,18452,,4800.0
2018-07-14,18343,,4800.0
2018-07-15,9354,,2400.0
2018-07-16,17401,211.0,4711.2
2018-07-17,9640,199.0,2531.3
2018-07-18,17445,,4800.0
2018-07-19,4000,,819.1
2018-07-21,10500,,2516.6
2018-07-22,19143,,5010.0
2018-07-23,18898,,4800.0
2018-07-24,10748,952.0,2607.9
2018-07-25,21840,,6000.0
2018-07-26,9567,,2400.0
2018-07-27,18913,,4800.0
2018-07-28,13300,,3600.0
2018-07-30,10000,,2557.0
2018-08-01,18567,,4800.0
2018-08-02,21027,,5459.5
2018-08-03,1513,,300.0
2018-08-04,18328,,4800.0
